Company / Client Name,Region,Industry Name,Service Name,Case Study Title,One-Line Summary / Core Focus,Business Context,Solution,Business Impact & Key Metrics,Tech Stack
Integrated ADFS with Google Workspace,APAC,"Telecommunications, Media, Entertainment & Gaming (TMEG)",Future of Work,Integrated ADFS with Google Workspace,Integrate ADFS with Google Workspace for Single Sign-On,Easily manage identities and authentication with a single source of truth. Help end-users use single pair of credentials to login to their Google Workspace account.,Helped integrate ADFS with Google Workspace. Rolling out Single Sign-On (SSO) for all users.,IT admins are able to easily manage identities and authentication with a single source of truth i.e. ADFS. End users are able to use single pair of credentials on multiple services for authentication. Active Directory Federation Services Media/Entertainment | Future of Work,
Optimized Application Performance,AMER,"Telecommunications, Media, Entertainment & Gaming (TMEG)",Software Engineering,Optimized Application Performance,Firebase optimization to improve app performance and reduction in load time for Roll 20,Reduce monthly expenditure on firebase Reduce load time and bandwidth usage for end users Reduce reliability issues with Firebase Get away from being bound to old libraries to prevent incremental refractors,Updated firebase sdk 3.x version to 8.1 version across the frontend and backend apps Implemented Lazy loading on the attributes in firebase queries Updated the schema to reduce the lookup details,10-15% reduction in loading time Reduced the query ops for one game data 700+ to 300+ Updated the SDK without affecting the performance of the existing mark. Firebase JavaScript,
Helping Telecoms reduce customer service costs,APAC,"Telecommunications, Media, Entertainment & Gaming (TMEG)",Location Intelligence,Helping Telecoms reduce customer service costs,Use GMP to create network coverage maps to keep customers informed and reduce service cost,Reduce customer support calls by showing customers network coverage maps on their website Support Customer support desk by giving them insights on the exact user-location,Maps Javascript API is used to display a heatmap of network coverage where users can identify serviceable areas across Malaysia Google Maps Places Details is also used by their customer service team to identify accurate customer address in case of any grievance,Reduction in service calls and better user experience Quick resolution of customer complaints,Maps Javascript API Places Details API Geocoding API
Backward compatibility,AMER,Other Industries,Cloud Modernization,AWS to Google Cloud Migration,"Developed TF scripts to automate Google Cloud resources VPC, subnets, networking, Mngt VM's, GKE, Cloud SQL, GAR & Cloud Armor Service.","Application hosted on AWS cloud platform, to move them on cloud agnostic landscape. Development of TF scripts to automate Google Cloud resources VPC, subnets, networking, Mngt VM's, GKE, Cloud SQL, GAR & Cloud Armor. Extend their applications to Google Cloud Platform- AWS Metabase BI service to CloudSQL via Intermediary Cloud SQL Auth Proxy VM.",One click deployment of infra resources. Code following the Dynamic parameters as per environment required. Application Deployment ensured the required Backward compatibility is instilled in the Helm charts and CI/CD pipelines. End to end automation and testing supported by Searce Team and shadow support provided to Select Star during the Production deployment for retained for environment.,One click deployment of infra resources Code following the Dynamic parameters as per environment Application Deployment ensured the required Backward compatibility is instilled in the Helm charts and CI/CD pipelines End to end automation and testing supported by Searce Team and shadow support provided to Select Star during the Production deployment Data catalog and Discovery platform | Cloud Modernization,"Compute Cloud Cloud Engine Firewall Storage, Cloud Armor, Kubernetes Engine"
Google Cloud Posidex,APAC,Other Industries,Cloud Modernization,"Creation of Landing Zone, deployment on GKE",Provided support on Infra and Data services offered in Google Cloud,"Posidex is an Enterprise Information Insights and Analytics company empowering leading enterprises It is an AI/ML-powered, privacy-enhanced customer data platform for contextual insights for better growth, compliance, & customer experiences Posidex wanted to set up workloads on Google Cloud's Mumbai region in this engagement",Provisioned GKE regional cluster to host 9 microservices Created YAML config file for GKE deployment and microservices Configured helm chart to automate deployment of application microservices into GKE cluster Set up Cloud logging and monitoring dashboards,"Services streamlined operations, reduced infrastructure tasks, and enhanced synergy with Google Cloud's broader ecosystem New pricing models and cost structures within Google Cloud Performance and scalability characteristics adjusted, leveraging Google Cloud-specific capabilities, in some cases, necessitated application tuning Adapted to Google Cloud's distinct tools, APIs, and console, which involved skill development",Kubernetes Engine
Integrating SaaS Product on GCP Marketplace,AMER,Other Industries,Cloud Modernization,Integrating SaaS Product on GCP Marketplace,CrateDB Cloud: Enhancing Customer Value through Google Cloud Marketplace Integration.,"CrateDB Cloud offers a fully-managed solution for deploying, monitoring, and backing up data. Analyze massive data in near real-time with ease. As part of its Software as a Service (SaaS) offering, CrateDB aims to enhance customer visibility, maximizing usage of their service, onboarding clients across industries.",Incorporated and integrated the SaaS product into Google marketplace listing within 06 weeks. Searce offered a streamlined billing and notification process to simplify client onboarding on CrateDB Cloud. Enhanced the product's sign-up process by utilizing the marketplace solution. Seamless integration of product with Google APIs & services. Account creation and purchase linkage post procurement.,"CrateDB will be able to acquire new customers on GCP. Global presence of CrateDB Cloud on GCP Geo locations. Easy 1 Click SaaS Database based offering over GCP Marketplace. Leveraging CrateDB via Marketplace user can minimize the overhead of operations. APIs integration and listing helps CrateDB end users simplify the deployment process and accelerate time to adopt solution. Information Technology, Database | Cloud Modernization","Cloud Run, Pub/Sub Datastore, Secret Manager"
Content Stack,AMER,Other Industries,Cloud Modernization,GCP implementation of applications using GKE contentstack.com,"GCP environment setup to leverage GKE for application deployments and implement other services like BigQuery, DataProc for data analytics on two envs",Containerization and migration of Content Stack's services from AWS to GCP Wanted to leverage GCP for data pipelines for enhanced analytical performance Automation of data processing and dashboard views They required scalability and enhanced security,"Automated application deployment (CI/CD pipelines) with ArgoCD autosync. Migrated 65 applications from AWS to GCP for prod env Refactored Datasync Jobs written in NodeJS & automated data pipeline leveraging DataProc, MongoDB, GCS & BigQuery. Deployed scalable private GKE meeting Contentstack's compliance & security needs. Enhanced WAF protection leveraging Cloud Armor managed protection plus.",Deeper and key insights to make data driven decisions. 2x Quicker turnaround time with automated application deployments Centralized data in GCP for improved customer experience. Compute Engine Cloud Storage Google BigQuery Dataproc Kubernetes Engine Content Delivery Network / Internet | Cloud Modernization Cloud Armor,
Well Architected Review,APAC,Other Industries,Cloud Modernization,Well Architected Review,"Covers the 5 Pillars of the Well Architected Framework which include; operational excellence, security, reliability, performance efficiency, and cost optimization.","Covers the 5 Pillars of the Well Architected Framework which include; operational excellence, security, reliability, performance efficiency, and cost optimization.",APAC The customer reached out to us for help in cost optimization and also for additional AWS credits as their consumption was going up every month. Searce recommended performing a WAR activity which involves reviewing the entire AWS account for cost optimization and to prevent additional cost on unused resources,"Cleaned up all the unused and old snapshots of the Ec2 instances Enabled lifecycle management for the infrequently accessed data in S3 buckets which brought down the storage cost Also, suggested reserving the Ec2 and RDS instances to bring down the cost of running production workloads upto 55% ITES & Professional Services| Infra Modernization",
Default security settings on GKE,EMEA,Other Industries,Cloud Modernization,Optimizing Cloud Spend for a Car Rental Company,Implementing GKE best practices to resolve the security issues and optimize the cost,Default security settings on GKE was a primary concern. The team needed a GKE certified partner to step in to resolve the security issues. Cost Savings on Infrastructure as Business scales. Cost implications and effort required to recreate the clusters that are already in product is a challenging task,"Security issues such as Brute force attacks and other vulnerabilities that come with using public clusters were identified when Searce ran an Infrastructure security risk analysis report. Proposed an optimal way of recreating applications already in production. Consultation provided on other ad hoc requests like Scaling issues due to IP addresses limitation to accommodate more PODs, choosing the right Machine type, use of PMVs for Cost cutting, etc.",Security crisis averted with the implementation of customized security settings in GKE Overall reduction in MoM billing ITES & Professional Services| Infra Modernization,
Boomtown,AMER,Other Industries,Cloud Modernization,Seamless architecture for real estate software,Using Terraform to provision infrastructure and creating a centralized logging for all projects,Boomtown wanted a script which they can re-use in multiple project/environment to deploy resources. Boomtown wanted to replicate their on-prem reverse proxy setup on GKE Team has desired a single pipeline which can deploy their complete application stack when setting up a new environment. Boomtown wanted a centralized logging.,Complete infrastructure provisioning was done using Terraform. Created modules that can be reused to replicate complete environments. Nginx Ingress Controller was deployed to replicate their on-prem reverse proxy setup on GKE. We created a Multi-project pipeline which can deploy the complete application stack on GKE. Deployed graylog for centralized logging.,Reusable and automated infrastructure provisioning. Deployed the NGINX Ingress for better application workload along with well-architected framework Developed Multi project Pipeline for deploying complete application stack with single pipeline Centralized logging project provides a single portal to view activities for all projects.,
Infra Mod for a HR and Compliance organization,AMER,Other Industries,Cloud Modernization,Infra Mod for a HR and Compliance organization,Containerizing the dotnet based application to optimize the cost and securing the environment,"Containerize their legacy dotnet framework + dotnet core to run on Kubernetes. Managing network configuration within the Kubernetes environment with best practices to secure the environment. Application insights for Kubernetes based workloads. Release management for packaging, managing and deploying their legacy applications on GKE on multiple environments with ease.","GCP infrastructure as per best practices using IaaC. Containerization of their legacy applications to run on Kubernetes environment. Secure deployments of legacy applications on GKE with best practices. Jenkins + ArgoCD pipelines for easy deployment of new application versions on different environments. Running their SQL & No SQL databases on GKE. Telemetry of applications using Prometheus, Grafana & Jaeger.",Running their application on containerised environment along with databases to reduce overall cost of Infrastructure. Secure environment with zero trust model for running applications on Google Cloud. Managing their multi-environment release cycle for new application versions. ITES & Professional Services| Infra Modernization,GCP infrastructure as per best practices using IaaC. Containerization of their legacy applications to run on Kubernetes
GKE without dev efforts Axcient,APAC,Other Industries,Cloud Modernization,Modernizing the infrastructure for DR solution,Implementing the monolithic to microservices based architecture using GKE in 4 weeks,"Migrate a C++ based application to kubernetes without dev efforts Multiple services powering the platform, some of them without proper documentation as to how they connect and work as whole.",Converted the C++ based monolith inform of Docker artifacts to be moved to GKE Deployed this application on GKE to leverage it's autoscaling capabilities without management overhead Application layer communicates with the Cloud SQl in the backend Implemented scaled infrastructure in 4 weeks end-to-end,Successful deployment of the axcient x360Sync application (aka Anchor) to GKE without dev efforts Axcient is now setup with scaled and optimised infrastructure to increase capacity on demand in reliable manner for Anchor application. Axcient and Searce to get engaged with subsequent such project to migrate existing on-prem applications to GCP,
CD Frapp,APAC,Other Industries,Cloud Modernization,Solving Scaling for a Growing Startup,"Leveraging GKE for better scaling, GCS for better archival storage and saving costs on infra and managing CI/CD","Frapp is a growing startup and the users on their mobile and web applications are increasing exponentially. With their old platform on AWS with docker swarm and RDS as the backend, scaling and manageability were two main challenges.","GKE for hosting all their services, improved manageability and decreased operational overhead. GCS in place of S3 for as a better archival storage option. Google Compute Engine in place of EC2 is used",Reduction in cloud spend by at least 10-12% Better manageability of the applications Ability to roll out updates on the app quickly Reduced operational overhead on the DevOps ITES & Professional Services| Infra Modernization,
Reliable Production Env for Contact Center Client,AMER,Other Industries,Cloud Modernization,Reliable Production Env for Contact Center Client,"Leveraging GKE for better scaling, automating infra with IaC to save costs and implementing other best practices","Setting up a multi-tier, production grade environment to deploy their demo and live customer environments on Google Cloud. Building Terragrunt automation scripts for multiple services that will be leveraged configuring all essential building blocks of the environment as per best practices.","Successful deployment of GCP infrastructure as per best practices adhering compliance requirements. Deployment scripts for Terragrunt, Vault cluster, Atlantis configurations are in place for repetitive deployments for setting up multiple environments. Well defined method to manage access to the infrastructure. Deployment of application and database as per compliance requirements. Running the containerized stack of UJET on GKE. Secret Management using Hashicorp Vault.",Successful deployment of GCP infrastructure as per best practices adhering compliance requirements. Managing infrastructure and application deployment at scale across multi-environments using IaC scripts. ITES & Professional Services| Infra Modernization,
DR solution for Human resource organization,AMER,Other Industries,Cloud Modernization,DR solution for Human resource organization,MSSQL mirroring to setup DR along with RPO and RTO achievement,MSSQL mirroring to setup DR along with RPO and RTO achievement,The client had no disaster recovery for their primary database system. They had been running with this risk. Beyond Impact was asked to determine what the effort and ongoing cost would be for a cloud-based disaster recovery position and plan. The client was also looking for lower/minimal possible RTO and RPO.,Platform Tech Stack VPC Peering MSSQL and Mirroring ITES & Professional Services| Infra Modernization Quick and easy continuous replication of MSSQL DBs between Primary and DR region Sub-second recovery point objectives(RPOs) achieved Recovery time objectives (RTO) of minutes Able to perform DR Drill without any disruptions to business operations,VPC Peering MSSQL and Mirroring
Time to production release,APAC,Other Industries,Cloud Modernization,Infra modernization for a Tech Organization,Automating workflows to optimizing cost by 20-30% by creating CI/CD pipeline and automating workflows,Time to production release was high No standardized machine image creation process Time taken to create a staging environment for a developer was high High infra cost Running hadoop clusters to crunch data was costly,Setup new CI/CD pipeline for faster release process. Setup process to create a faster machine image. Moved the repos to Nexus. Setup pipeline to create staging environments based on the need of developer in a mins time Leveraging Bigquery to run SQL based workloads on raw data Setting up workflows to automate metrics generation using Cloud Composer,Automated machine image creation process to host applications Automated data processing workflow Increased speed of deployment Agile and a robust Infrastructure 20-30% reduced infra cost ITES & Professional Services| Infra Modernization,Composer
AZURE to GCP CSB,APAC,Other Industries,Cloud Modernization,Infrastructure Migration of AZURE to GCP,Deployment of GCP Infrastructure as per best practices and migration of workload from AZURE to GCP,CSB was facing higher latency in their current AZURE systems AZURE was giving higher cost for its services,GCP infrastructure provided better performance GCP migration provided better cost optimization for their workload For protecting public facing web application we implemented Cloud Armor,Optimised infrastructure Affordable costing as against other domains Data loss prevention & advanced Security ITES & Professional Services| Infra Modernization,
MongoDB into BigQuery Sicepat Ekspres,APAC,Other Industries,Cloud Modernization,Scalable DWH for a Logistics Client,Leverage Airbyte for ingesting the historical & incremental data from MongoDB into BigQuery,Sicepat Ekspres is a provider of logistics and shipping services intended to support trade-in and between emerging markets. Sicepat wanted to move all of the MongoDB Atlas workloads to BIgquery in order to build a system for analytics. Tableau & DOMO is used to build dashboards for all the internal demos purpose right now and is also competing against some home grown reports/dashboards have done on the map,"Migrated historical data from 10 collections in MongoDB to BigQuery using Airbyte Leveraged Airbyte to develop automated pipelines to fetch all the incremental data at 5 minutes interval. Handled complex data types like STRUCT, RECORD using Stored Procedures in the data pipeline Data in staging is loaded into the analytics dataset in BigQuery using upsert (merge sp), dynamically inserting/updating the new records",Leveraging wider capabilities of BigQuery as an analytics backend as compared to MongoDB. No infrastructure overhead. Scalable data and analytics solution enabled on GCP for the delivery centers. ITES & Professional Services| Infra Modernization,
DigitalAPICraft,APAC,Other Industries,Cloud Modernization,Listed One APIMarketplace in Google Cloud Marketplace,Maximising SaaS based Service Usage for Google Cloud Clients,"As part of its SaaS offering, DigitalAPICraft is looking for ways to help their Google Cloud based clients to maximize their usage of the service. Through the Google Cloud marketplace, DigitalAPICraft will be able to acquire customers from a wide range of industries.",Incorporated the SaaS product into Google marketplace listings Enhanced the product's sign-up process by utilising the marketplace solution. Designed and developed a solution that allows Google to bill customers based on the One APIMarketplace.,"Through the implementation of the marketplace, DigitalAPICraft will be able to attract customers who already use the services of Google Cloud and scale up with ease.","App Engine, Pub/sub, Secret Manager, Cloud Engineering | Cloud Modernization, Datastore"
Enterprise Bot,APAC,Manufacturing & Mining (MM),Cloud Modernization,Listing Enterprise Bot CX GCP in Marketplace,"Enlisting of ""Enterprise Bot CX"" Product into GCP Marketplace","As part of its SaaS offering, Enterprise Bot was looking for ways to help their Google Cloud based clients maximize their usage of the service. Through the Google Cloud marketplace, Enterprise Bot would be able to acquire customers from a wide range of industries",Incorporated the SaaS product into Google marketplace listings Enhanced the product's sign-up process by utilizing the marketplace solution. Designed and developed a solution that allows Google to bill customers based on the Enterprise Bot CX product.,"Through the implementation of the marketplace, Enterprise Bot will be able to attract customers who already use the services of Google Cloud. By reducing the calculations involved in billing, Enterprise Bot can reduce the overall cost of the CX used by its customers.","App Engine, Secret Manager, Datastore, Pub/Sub"
key goal,AMER,Other Industries,Cloud Modernization,GCP Marketplace Integration,Listing of the Client's Virtual Machine solution in the Google Cloud Marketplace.,"Diamanti aimed to make it easy for Google Cloud Platform (GCP) users to embrace their VM offerings Ultima Enterprise with Spektra (BYOL). The key goal was to seamlessly integrate with the Google Cloud Marketplace, enhancing visibility and attracting more GCP users.","Diamanti achieved effortless integration, enabling GCP users to discover and access their VM products directly within the marketplace. The streamlined process ensures that GCP users can quickly and intuitively find and deploy Diamanti's VM products without unnecessary complications.","Diamanti's integration with the Google Cloud Marketplace significantly expanded their visibility among GCP users. With a simplified user experience and faster time-to-value, businesses can enhance productivity. Teams can quickly deploy and manage VM offerings, reducing the time spent on manual and complex processes.","Google Cloud Platform, Deployment Manager, Compute Engine, Cloud Storage"
DBs RDS will ensure the DB,APAC,Other Industries,Cloud Modernization,Infrastructure and Database Modernisation,tristancorp.com Tristan has developed application to serve business and ensure to have a seamless experience migrated the existing databases to AWS RDS. APAC,Tristancorp hosted all 3 MSSQL server databases in EC2 instances Autoscaling and HA for the Ec2 instance will increase the costs Ensure the application supports the new database post migration,Migration of MSSQL Server to Postgresql was performed using AWS DMS tool Identified all the inline sql queries in the application code and made changes line by line and tested against the old database for data correctness,Reduced cost of managing multiple Ec2 instance for DBs RDS will ensure the DB is available at all times and lower administrative burden. Improved application performance after the query change in the code. Technology Services | Cloud Modernization,
KPIs. To overcome this they,APAC,Other Industries,Cloud Modernization,Driving data driven decisions for a vehicle portal,Creating a centralized single source of truth in Bigquery from multiple sources for better data decision making,"iCarAsia teams had business KPIs that were tracked and derived through a lot of manual processes to finally being presented in an excel sheet. This resulted in operational inefficiency, data lineage issues, data sanity and also limited the business analysts to a limited number of KPIs. To overcome this they wanted to capture all data points, leverage automated data pipelines to have operational and predictive insights into their business operations.","Data was ingested from multiple sources i.e Google Analytics, MySQL Database(s) & Spreadsheet in streaming/batch mode to GCS/ BigQuery Dimensions & fact tables were combined using SQL queries to fit in the designed data model structure (15 datamarts as per modules). Created Airflow Dags which incrementally pulled data from GCS, created staging tables & updated data mart tables every 30 minutes. Datamart views refreshed as soon as incremental data loaded into BigQuery base tables. This served as source data for Google Data Studio where reports were created. GDS was integrated with BI Engine to improve performance, scalability & data freshness",Single source of truth for all the data sources. Automated process to track and measure the business KPIs in real time. Flexibility for business analysts to create custom and ad-hoc reports by leveraging the centralized data warehouse. Deeper and key insights for top management to make data driven decisions.,Google data studio Airflow
Lifesight,APAC,Other Industries,Cloud Modernization,Optimizing Query time for better performance,Reducing the query time by 75% to analyze petabytes of data within matter of minutes,"Lifesight wanted to adopt a data platform that supports building a Data Warehouse for external and internal use cases, They wanted to run ad-hoc queries on data sitting in storage using a powerful querying engine, data transformation, and cleaning in a faster and effective way using a spark or traditional MapReduce based pipeline.","The Searce team used BigQuery to build a Data Warehouse and migrated the EMR data processing frameworks to handle the analytical processing part. The application stack was moved to GKE for seamless scalability and better usage of the underlying infrastructure. All AWS services like S3, Route53, SES, Elasticsearch were migrated to corresponding GCP services as well.","Robust Data Platform - With BigQuery as the Data Warehouse, Lifesight could now analyze petabytes of data within a matter of minutes Better and Faster Query Time - The average query processing time was reduced by 75% due to BigQuery and d-hoc queries could now be easily performed ITES & Professional Services | Data & Analytics",
Oakbrook Finance,EMEA,Financial Services & Insurance (FSI),Data & Analytics,Azure Databricks to GCP Databricks Migration,Migrate Azure hosted Databricks environment to GCP (Replatform),Oakbrook Finance runs a multi-cloud environment in Microsoft Azure and Google Cloud Platform (GCP) Oakbrooks finds it cumbersome to have two separate platforms for data management in Azure and GCP for their applications,Discovery & Assessment for migration activities Migrate Azure hosted Databricks environment to GCP Migrate Azure SQL database instances & Workloads to a GCP hosted Databricks environment Migration of Azure Event Landing to GCP,"Data Platform and Application platform are on same cloud platform, maintenance has become easier Compute and Operational cost dropped down drastically",
Enterprise Edition App Engine Find out who,APAC,Other Industries,Cloud Modernization,Conversational Bot,Developed HappierBot to simplify user experience by performing tasks via Google Chat,"Happierwork sought for an bot that could perform simpler/regular tasks such as apply a leave, find contact details , view calendar events,etc directly through google chat without logging into the happierwork application",Created a chatbot on Google Dialogflow to perform the day to day tasks of happierwork Seamlessly link Google Account to happierwork Availability on Google Chat,Platform Tech Stack Delivered a personal assistant which can perform the following tasks: Apply/Cancel a leave Get information about your leave balance Find contact details(email/extension/manager/location Dialog Flow Enterprise Edition App Engine Find out who is on leave from your team View your calendar events Attendance regularization (Working while out of office/Attending an official event) ITES & Professional Services | Applied AI Speech-to-Text Text-to-Speech,"Find contact details(email/extension/manager/location, App Engine"
BigQuery data pipelines. Hippocratic AI,AMER,"Healthcare, Pharma & Life Sciences (HPL)",Cloud Modernization,Google Cloud Multi-Cloud Replication & Data Lake Setup,"Searce replicated Hippocratic AI's AWS setup on Google Cloud, delivering GKE environments and Fivetran-BigQuery data pipelines.","Hippocratic AI needed a compliant multi-cloud footprint on Google Cloud to host its safety-focused healthcare LLMs alongside its existing AWS setup. The client required real-time synchronization of 51 tables from AWS AlloyDB to support Google Cloud-native healthcare analytics. Secure, cross-cloud access to application images was required without manual migration from AWS ECR.","Searce delivered ""one-click"" GKE deployments for SNOW, ICE, and Model platforms using refactored Terraform and Helm. Searce built Fivetran pipelines into a BigQuery Data Lake with landing and curated zones to maintain schema integrity. Searce implemented Google Cloud Workload Identity Federation, enabling GKE to securely pull images directly from AWS via SSL/TLS.","Established a compliant multi-cloud footprint, reducing platform dependency on AWS. Achieved ""one-click"" infrastructure deployment using modular Terraform scripts. Automated data replication for 114 tables into BigQuery, enabling advanced healthcare analytics. Successfully deployed SNOW, ICE, and Model platforms on GKE for Dev and Prod.","Cloud Memorystore Kubernetes, Engine"
Manipal Hospitals,APAC,Other Industries,Cloud Modernization,An AI platform to automate call center tasks,"AI platform automates call transcription, summarization & quality audits for Manipal's MARS using Google Cloud and Vertex AI using Gemini 2.5 Flash Model","As a leading healthcare provider in India, Manipal Hospitals operates the critical 24/7 Manipal Ambulance Response Service (MARS) In this high-stakes environment, where every second impacts patient outcomes, the efficiency of the emergency call center is paramount Business need was to integrate intelligent technology that serves as a force multiplier for the frontline team","We developed the MARS AI Platform, a suite of AI-powered tools designed to augment the call center's capabilities The solution integrates into the existing workflow to provide automated call summarization, a comprehensive dashboard for automated quality audits, and a real-time agent assistance tool This platform empowers agents and supervisors, driving efficiency and improving service quality","The platform delivered a significant operational uplift. It is projected to reduce the manual effort for agents and supervisors by 70-80%, allowing them to focus on more critical, patient-facing tasks By automating the audit process, it ensures 100% of calls are monitored for quality and compliance This leads to more consistent, reliable, and high quality emergency response service for all patients",Vertex AI
Find out who,AMER,Other Industries,Cloud Modernization,Personal assistant to simplify user experience,Chatbot created using dialogflow that can help personal assistant apply/reject,"Happierwork sought for an bot that could perform simpler/regular tasks such as apply a leave, find contact details , view calendar events,etc directly through google chat without logging into the happierwork application",Created a chatbot on Google Dialogflow to perform the day to day tasks of happierwork Seamlessly link Google Account to happierwork Availability on Google Chat,Delivered a personal assistant which can perform the following tasks: Apply/Cancel a leave Get information about your leave balance Find contact details(email/extension/manager/location Find out who is on leave from your team View your calendar events Attendance regularization (Working while out of office/Attending an official event),
Manual process,APAC,ITES & Professional Services,Applied AI,Detection Modelling and Text Extraction,Automated extraction of critical fields in documents that helps in accelerated account payables and receivables,"Manual process is recruited for extracting details from the account payables and receivables documents including invoices, bills, purchase orders and receipts. Manual errors in multiple line items,VAT,GST dual systems Tally Prime aims to automate the process considering Invoices and Purchase Orders with the following considerations","Training documents are uploaded to a GCS bucket and sent to Doct AI OCR for text extraction Custom model deployed on App Engine processes the documents and classifies them into different categories, such as Invoice (VAT), Invoice (CGST/SGST), Invoice (IGST), and Purchase Order (purchase_order) Users can upload documents via API, which will extract results in JSON format","Reduced the need for manual intervention, optimizing resource allocation, and minimizing human effort. Time to process one file manually is 5 to min min now it is done in less than a min This is a reusable solution that could be easily configured and customized to extract data for different purposes and generate various JSON output for each document Enterprise resource planning | Applied AI",Document AI App Engine Cloud Storage
AI Translation for Audio and Video,APAC,"Retail, CPG & E-commerce (RCE)",Cloud Modernization,AI Translation for Audio and Video,"DMart launched Polysync via Google Cloud AI to automate video dubbing into regional languages, boosting training clarity and pan-India consistency.","Contextual Accuracy: Ensuring translations remain meaningful within a retail specific context. Glossary Management: Maintaining strict consistency for technical retail terminology and acronyms. Visual Alignment: Synchronizing localized audio with ""On-Screen Text"" (OST) and maintaining 1:1 visual fidelity with the original media.","Microservices: Decoupled ingestion, validation, and generation prevent AI tasks from blocking UI. Ingestion: Users upload ZIP files and glossaries via Frontend to trigger the processing pipeline. Transcription: Cloud Run uses FFmpeg and Vertex AI to decouple media and generate draft JSONs. Review: Trainers use a UI with Gemini-powered suggestions to finalize context-aware rewrites.",Rapid Deployment: Automates L&D translation for simultaneous rollout in multiple regional languages. Glossary Adherence: Uses strict business glossaries to eliminate AI hallucinations and ensure accuracy. Visual Fidelity: Employs Cloud Vision tracking to maintain 1:1 alignment of localized on-screen text.,"Cloud Vertex AI Storage, Cloud Build"
Workspace connectors. Kala Genset Pvt Ltd,APAC,Other Industries,Cloud Modernization,Gemini Enterprise Workplace AI Enablement,Enabled secure enterprise search and no-code AI agents using Gemini Enterprise and Google Workspace connectors.,"Kala Genset Pvt Ltd operates across key business functions including sales, production, quality, and procurement. KGPL currently manages highly fragmented ERP data distributed across multiple departmental Excel extracts. The organization is adopting Google Cloud Gemini Enterprise to centralize and simplify business intelligence processes.","Kala Genset Pvt Ltd deployed Google Cloud Gemini Enterprise integrated with Google Workspace and ERP Excel data. Secure IAM access was managed through Google Groups with No-Code AI agents for performance and trend analysis. AI assistants unified fragmented data and generated automated insights, reports, and dashboards for business leaders.","Kala Genset Pvt Ltd transformed ERP spreadsheets into instant business insights. Leaders can query sales, production, quality, and procurement data using natural language with automated summaries and charts. The solution removed manual reporting, unified cross-functional tracking, and improved decision-making speed. Manufacturing and Power Generation industry | Practice SBU - To be Discarded",
Improving Customer Travel Experience with LI,APAC,Other Industries,Cloud Modernization,Improving Customer Travel Experience with LI,"Use GMP to accurately find nearby places, manage travel bookings and measure ETA",Make online properties more relevant and useable for travellers Create the best customer experience in order to drive traffic to its site Enhance customer satisfaction Identify tools that would allow maps to zoom in and out and provide accurate location of the hotels and places nearby,Explained the full capabilities of Google Maps APIs and how best to use them with our code Developed use cases that demonstrated how services such as redBus would be more beneficial to customers with Google Maps Platform Discussed adding enhanced features to record greater return on its investment in the product,Customers could locate desired hotels and manage bus bookings and journeys efficiently Reduced guest queueing times significantly at hotels Improved net promoter scores by ~20-25% Customer can view the number of kilometers between destinations and the fare for each journey thus reducing search times and improving accuracy ITES & Professional Services | Location Intelligence,"Google Maps Platform, Google places API"
Connecting professionals with accurate locations,APAC,Other Industries,Cloud Modernization,Connecting professionals with accurate locations,Use GMP to optimize the spend by 30% and helping teams on basic and advanced distance matrix API,Connect Urban Company professionals to the nearby user service location Maintain effective & timingly distribution of workload amongst the Urban Company professionals Ensure accuracy of the start and end time of the service,Helped the team make the most of out of Basic and advanced Distance matrix API calls Educated them oxn the Google OR tools to batch multiple service ensuring all tasks start on time,Reduced the wastage of resources by fetching accurate locations of the users Reduced the overall spend by 30% through effective implementation of the APIs keeping the use cases consistent,Directions API Autocomplete API Roads API Geocoding API
Oracle and more. Cloud Spanner,AMER,Other Industries,Cloud Modernization,Collaborating with GCP Product Teams: Spanner,"Guided Schema Conversion and Data Migration tool for Cloud Spanner from various databases like PostgreSQL, MySQL, MSSQL, Oracle and more.","Cloud Spanner is gaining popularity and many customers want to take the advantage of it's features by migrating their existing database to Cloud Spanner With the existing databases support, huge requirement is there for MSSQL and Oracle Need for an improved schema assistant tool with modern UI Need a way to save the schema conversion progress","In this phase schema and data migration support added for MSSQL and Oracle. As a result total supported data sources are PostgreSQL, MySQL, MSSQL, Oracle, DynamoDB, CSV Rebuilt the UI with material design and added a lot of features. Introduced sessions to save and resume a schema conversion progress Introduced rules to apply changes in multiple places easily","It's an open source tool so now customers have a better free tool with the new features to migrate their existing DB to Spanner Schema assistant tool is made more intelligent and shows errors, warnings, hints etc. and as a result schema conversion is much more user friendly With the use of sessions progress can be saved and resumed easily allowing other users to participate in the schema conversion ITES & Professional Services | Software Engineering",
